COURSE NAME,CLUSTER,COURSE CODE,UNIVERSITY,CUT-OFF POINTS,MINIMUM SUBJECT REQUIREMENTS
,2,1112821,TECHNICAL UNIVERSITY OF KENYA,29.113,
,2,1515223,TOM MBOYA UNIVERSITY,21.964,
,2,1114222,UNIVERSITY OF ELDORET,26.44,
,2,1093224,UNIVERSITY OF EMBU,25.735,
,2,,,,
BACHELOR OF INFORMATION SCIENCE,2,,,,Mathematics: C
,2,1087B69,KISII UNIVERSITY,19.799,
,2,1093B69,UNIVERSITY OF EMBU,19.799,
,2,1263B69,UNIVERSITY OF NAIROBI,19.799,
,2,,,,
BACHELOR OF SCIENCE IN PROCUREMENT AND CONTRACT MANAGEMENT,2,,,,
,2,1078249,AFRICA NAZARENE UNIVERSITY,19.799,
,2,1105247,CHUKA UNIVERSITY,19.799,Mathematics: C
,2,1080247,CO-OPERATIVE UNIVERSITY OF KENYA,19.799,
,2,1173247,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,19.799,
,2,1057249,EGERTON UNIVERSITY,19.799,
,2,1053248,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,1249247,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,23.199,
,2,1249245,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,28.127,
,2,1061250,KABARAK UNIVERSITY,19.799,
,2,1103250,KCA UNIVERSITY,19.799,
,2,1079247,KIRINYAGA UNIVERSITY,19.799,
,2,1460249,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,1087247,KISII UNIVERSITY,19.799,
,2,1229245,MASENO UNIVERSITY,19.799,
,2,1240250,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,1279255,MOUNT KENYA UNIVERSITY,19.799,
,2,1164250,MULTIMEDIA UNIVERSITY OF KENYA,19.799,
,2,1246249,MURANG'A UNIVERSITY OF TECHNOLOGY,19.799,
,2,1073247,RONGO UNIVERSITY,19.799,
,2,1166249,SOUTH EASTERN KENYA UNIVERSITY,19.799,
,2,1091247,TAITA TAVETA UNIVERSITY,19.799,
,2,1063247,TECHNICAL UNIVERSITY OF MOMBASA,19.799,
,2,1685250,THARAKA UNIVERSITY,19.799,
,2,1093249,UNIVERSITY OF EMBU,19.799,
,2,1425255,ZETECH UNIVERSITY,19.799,
,2,,,,
BACHELOR OF ENTREPRENEURSHIP,2,,,,Mathematics: C
,2,1119298,AFRICA INTERNATIONAL UNIVERSITY,19.799,
,2,1700299,BOMET UNIVERSITY COLLEGE,19.799,
,2,1105299,CHUKA UNIVERSITY,19.799,
,2,1080297,CO-OPERATIVE UNIVERSITY OF KENYA,19.799,
,2,1057298,EGERTON UNIVERSITY,19.799,
,2,1057299,EGERTON UNIVERSITY,19.799,
,2,1249298,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,19.799,
,2,1079298,KIRINYAGA UNIVERSITY,19.799,
,2,1087299,KISII UNIVERSITY,19.799,
,2,1165298,MAASAI MARA UNIVERSITY,19.799,
,2,1229299,MASENO UNIVERSITY,19.799,
,2,5145299,OPEN UNIVERSITY OF KENYA,19.799,
,2,1685298,THARAKA UNIVERSITY,19.799,
,2,1114299,UNIVERSITY OF ELDORET,19.799,
,2,,,,
BACHELOR OF PROJECT MANAGEMENT,2,,,,None
,2,1700327,BOMET UNIVERSITY COLLEGE,19.799,
,2,1249327,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,28.434,
,2,5535327,KABARNET UNIVERSITY COLLEGE,-,
,2,1244327,KARATINA UNIVERSITY,21.877,
